Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,27112
INSULT TO THE MODESTY OF WOMEN,8188
RAPE,6410
KIDNAPPING & ABDUCTION,6129
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5323
DOWRY DEATH,3130
IMMORAL TRAFFIC(PREVENTION)ACT,780
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
