Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,39388
KIDNAPPING & ABDUCTION,22920
RAPE,16178
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,13620
DOWRY DEATH,1276
IMMORAL TRAFFIC(PREVENTION)ACT,295
INSULT TO THE MODESTY OF WOMEN,112
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,19
