Crime,Count
RAPE,1020
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,532
KIDNAPPING & ABDUCTION,264
CRUELTY BY HUSBAND OR RELATIVES,165
IMMORAL TRAFFIC(PREVENTION)ACT,20
DOWRY DEATH,15
INSULT TO THE MODESTY OF WOMEN,8
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
