Crime,Count
KIDNAPPING & ABDUCTION,15650
CRUELTY BY HUSBAND OR RELATIVES,15211
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7534
RAPE,6424
INSULT TO THE MODESTY OF WOMEN,1687
DOWRY DEATH,1582
IMMORAL TRAFFIC(PREVENTION)ACT,831
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,4
