State,PrePrimaryPercent
Ladakh,46.81984972916303
Nagaland,43.056390660560254
Sikkim,42.78492046197429
Meghalaya,40.49510737381927
Jammu and Kashmir,35.70671007794517
Punjab,34.223423254429186
Lakshadweep,29.32344763670065
Andaman and Nicobar Islands,26.517485749499308
Mizoram,23.832592993728458
Puducherry,23.681221605249878
