State,Count
Tamil Nadu,891700
Maharashtra,394017
Gujarat,381849
Uttar Pradesh,355110
Madhya Pradesh,283881
Delhi,249192
Bihar,194698
Rajasthan,193279
Andhra Pradesh,188997
West Bengal,158060
