State,Count
Maharashtra,367218
Uttar Pradesh,357905
Tamil Nadu,322852
Madhya Pradesh,304066
Delhi,291904
Gujarat,273056
Rajasthan,214552
Bihar,186006
Andhra Pradesh,179611
West Bengal,157498
